Utility: l2
Metric: BinaryDiversityUtility
CIRCLE_WORLD, 400, 9 types, equitable_init, value: 0.9006152010883569
CIRCLE_WORLD, 400, 9 types, random_init, value: 0.9006141931803351
CIRCLE_WORLD, 400, 8 types, equitable_init, value: 0.8944856784616511
GRID_8DEG_WORLD, 20x20, 2 types, equitable_init, value: 0.8895186639543462
GRID_8DEG_WORLD, 20x20, 2 types, random_init, value: 0.8893700941112659
CIRCLE_WORLD, 400, 8 types, random_init, value: 0.8860883179871301
CIRCLE_WORLD, 400, 7 types, random_init, value: 0.8753186470869719
CIRCLE_WORLD, 400, 7 types, equitable_init, value: 0.8696985465154012
CIRCLE_WORLD, 400, 6 types, equitable_init, value: 0.8590067740418424
CIRCLE_WORLD, 400, 6 types, random_init, value: 0.8573988843843812
CIRCLE_WORLD, 400, 5 types, random_init, value: 0.831728519846589
CIRCLE_WORLD, 400, 5 types, equitable_init, value: 0.8307255521988061
GRID_8DEG_WORLD, 20x20, 3 types, equitable_init, value: 0.8280962594893544
GRID_8DEG_WORLD, 20x20, 3 types, random_init, value: 0.8263404351718087
CYLINDER_WORLD, 2x200, 9 types, equitable_init, value: 0.8235241846454903
CYLINDER_WORLD, 2x200, 9 types, random_init, value: 0.8176854164973563
CYLINDER_WORLD, 2x200, 8 types, random_init, value: 0.8020092396769144
CYLINDER_WORLD, 2x200, 8 types, equitable_init, value: 0.799008163046237
GRID_8DEG_WORLD, 20x20, 2 types, schelling_random_init, value: 0.7964002214394558
CIRCLE_WORLD, 400, 4 types, equitable_init, value: 0.7915087854173629
CYLINDER_WORLD, 2x200, 2 types, equitable_init, value: 0.7884272353970349
GRID_4DEG_WORLD, 20x20, 2 types, equitable_init, value: 0.7877408222685172
GRID_4DEG_WORLD, 20x20, 2 types, random_init, value: 0.78709506835365
CYLINDER_WORLD, 2x200, 2 types, random_init, value: 0.7861835996989724
CIRCLE_WORLD, 400, 4 types, random_init, value: 0.7858228901294633
CYLINDER_WORLD, 2x200, 7 types, equitable_init, value: 0.7802463298584591
CYLINDER_WORLD, 2x200, 7 types, random_init, value: 0.7753652808958083
GRID_8DEG_WORLD, 20x20, 2 types, schelling_equitable_init, value: 0.7675580770099866
CIRCLE_WORLD, 400, 8 types, schelling_equitable_init, value: 0.758541815631288
CIRCLE_WORLD, 400, 9 types, schelling_equitable_init, value: 0.7578352323809115
CIRCLE_WORLD, 400, 9 types, schelling_random_init, value: 0.7544606119354268
GRID_4DEG_WORLD, 20x20, 3 types, equitable_init, value: 0.7536202924290546
GRID_4DEG_WORLD, 20x20, 9 types, random_init, value: 0.7528789182169625
CYLINDER_WORLD, 2x200, 6 types, equitable_init, value: 0.751985404124175
GRID_4DEG_WORLD, 20x20, 9 types, equitable_init, value: 0.751327367983879
CYLINDER_WORLD, 2x200, 6 types, random_init, value: 0.7512426764734053
CIRCLE_WORLD, 400, 8 types, schelling_random_init, value: 0.7504186942958498
GRID_4DEG_WORLD, 20x20, 3 types, random_init, value: 0.7499570531515871
CIRCLE_WORLD, 400, 7 types, schelling_random_init, value: 0.745741554243775
GRID_4DEG_WORLD, 20x20, 2 types, schelling_equitable_init, value: 0.7445229449558954
CIRCLE_WORLD, 400, 7 types, schelling_equitable_init, value: 0.7441749024079977
GRID_8DEG_WORLD, 20x20, 5 types, equitable_init, value: 0.7373998949824322
CIRCLE_WORLD, 400, 6 types, schelling_random_init, value: 0.7368397893802268
GRID_4DEG_WORLD, 20x20, 8 types, equitable_init, value: 0.7356146848919336
GRID_8DEG_WORLD, 20x20, 4 types, equitable_init, value: 0.7325534149789018
GRID_8DEG_WORLD, 20x20, 5 types, random_init, value: 0.7324834284631034
CIRCLE_WORLD, 400, 3 types, equitable_init, value: 0.7323330315786917
CIRCLE_WORLD, 400, 6 types, schelling_equitable_init, value: 0.7301140728083129
CIRCLE_WORLD, 400, 3 types, random_init, value: 0.727986613694622
GRID_8DEG_WORLD, 20x20, 4 types, random_init, value: 0.7259471522896496
GRID_4DEG_WORLD, 20x20, 2 types, schelling_random_init, value: 0.7252808771401101
GRID_4DEG_WORLD, 20x20, 8 types, random_init, value: 0.7247093118840482
CIRCLE_WORLD, 400, 5 types, schelling_random_init, value: 0.721240875657635
CYLINDER_WORLD, 2x200, 5 types, equitable_init, value: 0.7190793523641136
CIRCLE_WORLD, 400, 5 types, schelling_equitable_init, value: 0.7186847943167015
CYLINDER_WORLD, 2x200, 5 types, random_init, value: 0.7165933124826708
GRID_4DEG_WORLD, 20x20, 7 types, equitable_init, value: 0.7040795877995029
CIRCLE_WORLD, 400, 4 types, schelling_equitable_init, value: 0.7022654387030193
GRID_4DEG_WORLD, 20x20, 7 types, random_init, value: 0.6991684744466921
GRID_8DEG_WORLD, 20x20, 6 types, equitable_init, value: 0.698571157926102
CIRCLE_WORLD, 400, 4 types, schelling_random_init, value: 0.695444781640718
GRID_8DEG_WORLD, 20x20, 6 types, random_init, value: 0.694241595300581
CYLINDER_WORLD, 2x200, 2 types, schelling_random_init, value: 0.6922935714842133
CYLINDER_WORLD, 2x200, 2 types, schelling_equitable_init, value: 0.6867887674735492
GRID_4DEG_WORLD, 20x20, 6 types, equitable_init, value: 0.6721379906641879
GRID_4DEG_WORLD, 20x20, 6 types, random_init, value: 0.6665610352770057
CIRCLE_WORLD, 400, 3 types, schelling_equitable_init, value: 0.665473872611454
CIRCLE_WORLD, 400, 3 types, schelling_random_init, value: 0.6621542172454459
CYLINDER_WORLD, 2x200, 4 types, equitable_init, value: 0.6618418748764664
CYLINDER_WORLD, 2x200, 4 types, random_init, value: 0.6600678415647578
CYLINDER_WORLD, 2x200, 9 types, schelling_random_init, value: 0.6558634112490318
CYLINDER_WORLD, 2x200, 9 types, schelling_equitable_init, value: 0.6557550777985022
GRID_4DEG_WORLD, 20x20, 3 types, schelling_random_init, value: 0.6455571629193722
GRID_4DEG_WORLD, 20x20, 3 types, schelling_equitable_init, value: 0.6445624880756263
CYLINDER_WORLD, 2x200, 8 types, schelling_random_init, value: 0.6401623365481884
CYLINDER_WORLD, 2x200, 8 types, schelling_equitable_init, value: 0.6310573936398138
GRID_8DEG_WORLD, 20x20, 7 types, equitable_init, value: 0.6307926390025689
GRID_4DEG_WORLD, 20x20, 5 types, equitable_init, value: 0.6299006133150961
GRID_8DEG_WORLD, 20x20, 7 types, random_init, value: 0.6272433305329058
GRID_8DEG_WORLD, 20x20, 3 types, schelling_equitable_init, value: 0.626334266452929
GRID_4DEG_WORLD, 20x20, 5 types, random_init, value: 0.6259763100207867
CYLINDER_WORLD, 2x200, 7 types, schelling_random_init, value: 0.6175858218289402
CYLINDER_WORLD, 2x200, 7 types, schelling_equitable_init, value: 0.6084553520885182
CIRCLE_WORLD, 400, 2 types, random_init, value: 0.6063590123930604
CIRCLE_WORLD, 400, 2 types, equitable_init, value: 0.6026625061748737
CYLINDER_WORLD, 2x200, 6 types, schelling_random_init, value: 0.6007478835823546
CYLINDER_WORLD, 2x200, 3 types, equitable_init, value: 0.5951601477478522
CYLINDER_WORLD, 2x200, 3 types, random_init, value: 0.5947871527141051
CYLINDER_WORLD, 2x200, 6 types, schelling_equitable_init, value: 0.5940301955527975
GRID_4DEG_WORLD, 20x20, 4 types, equitable_init, value: 0.5755120181623773
CYLINDER_WORLD, 2x200, 5 types, schelling_equitable_init, value: 0.5727861136110781
GRID_4DEG_WORLD, 20x20, 4 types, random_init, value: 0.57083968705042
CYLINDER_WORLD, 2x200, 5 types, schelling_random_init, value: 0.5696153476082512
CIRCLE_WORLD, 400, 2 types, schelling_random_init, value: 0.5669266253443256
