Utility: social_welfare_0
Metric: BinaryDiversityUtility
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 0.9998888888888888
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 0.9997407407407407
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 0.9997407407407407
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 0.9997037037037036
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.9993703703703704
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 0.9991851851851852
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 0.9988518518518519
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 0.9986296296296296
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 0.9986296296296295
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 0.9985925925925925
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 0.9984444444444445
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 0.9981481481481481
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 0.9977037037037035
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.9970740740740741
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 0.9919629629629629
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 0.9804814814814815

Utility: number_of_colorful_edges
Metric: BinaryDiversityUtility
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 0.8907777777777778
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 0.8756666666666668
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 0.8572222222222223
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 0.8334074074074074
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.8002592592592592
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 0.7562592592592592
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 0.6839074074074073
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 0.6010370370370369
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 0.5885555555555555
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.5630000000000001
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 0.5439814814814814
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 0.5292777777777778
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 0.5261296296296296
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 0.524925925925926
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 0.5238888888888888
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 0.5236851851851853

Utility: social_welfare_1
Metric: BinaryDiversityUtility
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 0.9919629629629629
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 0.9804814814814815
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 0.8102592592592592
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 0.7527314814814815
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 0.7253796296296298
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 0.6883333333333332
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 0.6864567901234567
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.6491296296296298
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 0.6466759259259258
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.5890462962962963
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 0.4761728395061716
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 0.42696296296296293
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 0.4144722222222222
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 0.40484259259259264
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 0.38946296296296296
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 0.37666666666666665

Utility: l2
Metric: BinaryDiversityUtility
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 0.7882039102295911
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 0.7493442937285631
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 0.7477993297954687
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 0.7321361860323908
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 0.7282740370674311
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 0.6982358050412198
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 0.6659820249146275
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.6405552911782862
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.6237385850547065
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 0.5718392615442842
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 0.5270556100652395
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 0.5111671639433577
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 0.5018572619759761
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 0.4856403602349662
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 0.4737061088275132
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 0.45461283337899333

Utility: social_welfare_0
Metric: TypeCountingDiversityUtility
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 1.0
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.9999629629629629
GRID_4DEG_WORLD, 30x30, 3 types, random_init, value: 0.9995185185185186
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.9991111111111111
GRID_4DEG_WORLD, 30x30, 2 types, random_init, value: 0.9919629629629629
GRID_4DEG_WORLD, 30x30, 2 types, schelling_random_init, value: 0.9804814814814815

Utility: number_of_colorful_edges
Metric: TypeCountingDiversityUtility
GRID_4DEG_WORLD, 30x30, 9 types, random_init, value: 0.999351851851852
GRID_4DEG_WORLD, 30x30, 9 types, schelling_random_init, value: 0.9992222222222222
GRID_4DEG_WORLD, 30x30, 8 types, random_init, value: 0.9989259259259261
GRID_4DEG_WORLD, 30x30, 8 types, schelling_random_init, value: 0.9988518518518519
GRID_4DEG_WORLD, 30x30, 7 types, random_init, value: 0.9986296296296298
GRID_4DEG_WORLD, 30x30, 7 types, schelling_random_init, value: 0.9984814814814816
GRID_4DEG_WORLD, 30x30, 6 types, random_init, value: 0.9978148148148149
GRID_4DEG_WORLD, 30x30, 6 types, schelling_random_init, value: 0.9973518518518519
GRID_4DEG_WORLD, 30x30, 5 types, schelling_random_init, value: 0.9953518518518518
GRID_4DEG_WORLD, 30x30, 5 types, random_init, value: 0.9953333333333334
GRID_4DEG_WORLD, 30x30, 4 types, schelling_random_init, value: 0.9886851851851852
GRID_4DEG_WORLD, 30x30, 4 types, random_init, value: 0.9863333333333333
GRID_4DEG_WORLD, 30x30, 3 types, schelling_random_init, value: 0.9260555555555555
