GRID DEGREE,GRID SIZE,NUM TYPES,INITIALIZATION,UTILITY,STEPS,DoI,CE,NV,EV,Is max (DoI),Is max (CE),Is max (NV),Is max (EV)
GRID_4DEG_WORLD,30x30,2,random_init,BinaryDiversityUtility,20.2,0.9919629629629629,0.5885555555555555,0.9919629629629629,0.7882039102295911,0,0,0,1
GRID_4DEG_WORLD,30x30,2,random_init,TypeCountingDiversityUtility,20.2,0.9919629629629629,0.5885555555555555,0.9919629629629629,0.7882039102295911,0,0,0,0
GRID_4DEG_WORLD,30x30,2,random_init,DifferenceCountDiversityUtility,172.23333333333332,1.0,0.8884074074074074,1.0,0.584884899481038,1,1,1,0
GRID_4DEG_WORLD,30x30,2,schelling_random_init,BinaryDiversityUtility,91.46666666666667,0.9804814814814815,0.6010370370370369,0.9804814814814815,0.7321361860323908,0,0,0,1
GRID_4DEG_WORLD,30x30,2,schelling_random_init,TypeCountingDiversityUtility,91.46666666666667,0.9804814814814815,0.6010370370370369,0.9804814814814815,0.7321361860323908,0,0,0,0
GRID_4DEG_WORLD,30x30,2,schelling_random_init,DifferenceCountDiversityUtility,223.96666666666667,1.0,0.9007407407407407,1.0,0.5728985470532061,1,1,1,0
GRID_4DEG_WORLD,30x30,3,random_init,BinaryDiversityUtility,4.733333333333333,0.9981481481481481,0.6839074074074073,0.8102592592592592,0.7477993297954687,0,0,0,1
GRID_4DEG_WORLD,30x30,3,random_init,TypeCountingDiversityUtility,128.23333333333332,0.9995185185185186,0.911037037037037,0.9155925925925926,0.6447554388953862,0,0,1,0
GRID_4DEG_WORLD,30x30,3,random_init,DifferenceCountDiversityUtility,163.2,1.0,0.9683518518518518,0.8840555555555555,0.5796242496661541,1,1,0,0
GRID_4DEG_WORLD,30x30,3,schelling_random_init,BinaryDiversityUtility,70.46666666666667,0.9970740740740741,0.5630000000000001,0.6491296296296298,0.6405552911782862,0,0,0,1
GRID_4DEG_WORLD,30x30,3,schelling_random_init,TypeCountingDiversityUtility,241.16666666666666,0.9991111111111111,0.9260555555555555,0.8801666666666667,0.5994564587844612,0,0,1,0
GRID_4DEG_WORLD,30x30,3,schelling_random_init,DifferenceCountDiversityUtility,255.2,1.0,0.9779074074074074,0.8269444444444445,0.5329155145919723,1,1,0,0
GRID_4DEG_WORLD,30x30,4,random_init,BinaryDiversityUtility,1.5,0.9986296296296296,0.7562592592592592,0.6864567901234567,0.5718392615442842,0,0,0,1
GRID_4DEG_WORLD,30x30,4,random_init,TypeCountingDiversityUtility,145.96666666666667,1.0,0.9863333333333333,0.7939012345678983,0.49888870025484594,1,0,1,0
GRID_4DEG_WORLD,30x30,4,random_init,DifferenceCountDiversityUtility,150.06666666666666,1.0,0.9964814814814815,0.7754074074074052,0.476928561864144,0,1,0,0
GRID_4DEG_WORLD,30x30,4,schelling_random_init,BinaryDiversityUtility,59.46666666666667,0.9977037037037035,0.5439814814814814,0.4761728395061716,0.45461283337899333,0,0,0,0
GRID_4DEG_WORLD,30x30,4,schelling_random_init,TypeCountingDiversityUtility,272.6666666666667,1.0,0.9886851851851852,0.7488024691358007,0.4602909213881396,1,0,1,1
GRID_4DEG_WORLD,30x30,4,schelling_random_init,DifferenceCountDiversityUtility,263.6666666666667,1.0,0.9958333333333333,0.6891481481481476,0.41215443483159053,0,1,0,0
GRID_4DEG_WORLD,30x30,5,random_init,BinaryDiversityUtility,0.5,0.9993703703703704,0.8002592592592592,0.5890462962962963,0.6237385850547065,0,0,0,1
GRID_4DEG_WORLD,30x30,5,random_init,TypeCountingDiversityUtility,129.5,0.9999629629629629,0.9953333333333334,0.6719166666666667,0.5614315319494576,0,0,1,0
GRID_4DEG_WORLD,30x30,5,random_init,DifferenceCountDiversityUtility,128.4,1.0,0.9985925925925928,0.6639166666666667,0.5475298047456952,1,1,0,0
GRID_4DEG_WORLD,30x30,5,schelling_random_init,BinaryDiversityUtility,50.1,0.9984444444444445,0.5292777777777778,0.37666666666666665,0.4737061088275132,0,0,0,0
