Utility: social_welfare_3
Metric: BinaryDiversityUtility
GRID_8DEG_WORLD, 2 types, random_init, value: 0.9159067937139838
CIRCLE_WORLD, 2 types, random_init, value: 0.8931574855972471
GRID_8DEG_WORLD, 3 types, random_init, value: 0.8885877331436499
CIRCLE_WORLD, 2 types, shelling_init, value: 0.8864998408003522
GRID_4DEG_WORLD, 2 types, random_init, value: 0.8747580527503304
CYLINDER_WORLD, 2 types, random_init, value: 0.8721036046806736
CYLINDER_WORLD, 2 types, shelling_init, value: 0.8388853224048505
GRID_8DEG_WORLD, 5 types, random_init, value: 0.83738615659396
GRID_4DEG_WORLD, 2 types, shelling_init, value: 0.8260132738702883
GRID_8DEG_WORLD, 6 types, random_init, value: 0.8153696919680431
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.8034596245058135
GRID_8DEG_WORLD, 7 types, random_init, value: 0.794891319022028
GRID_4DEG_WORLD, 3 types, random_init, value: 0.7857791339795586
CYLINDER_WORLD, 3 types, random_init, value: 0.742043051642052
CIRCLE_WORLD, 3 types, random_init, value: 0.6983930127198112
GRID_4DEG_WORLD, 5 types, random_init, value: 0.6956046041406063
GRID_4DEG_WORLD, 6 types, random_init, value: 0.6662003236877219
CIRCLE_WORLD, 3 types, shelling_init, value: 0.6438067729269538
GRID_4DEG_WORLD, 7 types, random_init, value: 0.6412594972563208
GRID_4DEG_WORLD, 3 types, shelling_init, value: 0.6291660824564663
CYLINDER_WORLD, 5 types, random_init, value: 0.6281442818006032
CYLINDER_WORLD, 3 types, shelling_init, value: 0.6082649847765182
CYLINDER_WORLD, 6 types, random_init, value: 0.5955749610685679
CYLINDER_WORLD, 7 types, random_init, value: 0.570836906620443
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.5612196439951543
CIRCLE_WORLD, 5 types, random_init, value: 0.5445034631917834
GRID_8DEG_WORLD, 5 types, shelling_init, value: 0.5252185135980175
CIRCLE_WORLD, 6 types, random_init, value: 0.5069797736588243
GRID_8DEG_WORLD, 7 types, shelling_init, value: 0.49260637242185673
CIRCLE_WORLD, 7 types, random_init, value: 0.47855498888878695
GRID_4DEG_WORLD, 5 types, shelling_init, value: 0.47587204429287944
CIRCLE_WORLD, 5 types, shelling_init, value: 0.4583761066213021
CYLINDER_WORLD, 5 types, shelling_init, value: 0.4493922054002804
GRID_4DEG_WORLD, 6 types, shelling_init, value: 0.4446357239963597
GRID_8DEG_WORLD, 6 types, shelling_init, value: 0.43006618059682217
GRID_4DEG_WORLD, 7 types, shelling_init, value: 0.4237201234841495
CIRCLE_WORLD, 6 types, shelling_init, value: 0.41501788049878124
CYLINDER_WORLD, 6 types, shelling_init, value: 0.414680168938762
CYLINDER_WORLD, 7 types, shelling_init, value: 0.388732840251934
CIRCLE_WORLD, 7 types, shelling_init, value: 0.38352502662888477

Utility: number_of_colorful_edges
Metric: BinaryDiversityUtility
CIRCLE_WORLD, 7 types, random_init, value: 0.8908750000000001
CIRCLE_WORLD, 6 types, random_init, value: 0.8794249999999999
CYLINDER_WORLD, 7 types, random_init, value: 0.8623166666666667
CIRCLE_WORLD, 5 types, random_init, value: 0.8619125000000001
GRID_4DEG_WORLD, 7 types, random_init, value: 0.8586374999999999
GRID_8DEG_WORLD, 7 types, random_init, value: 0.858
CIRCLE_WORLD, 2 types, shelling_init, value: 0.8472625
CYLINDER_WORLD, 6 types, random_init, value: 0.8395666666666665
GRID_4DEG_WORLD, 6 types, random_init, value: 0.8349125
GRID_8DEG_WORLD, 6 types, random_init, value: 0.8339125000000002
CIRCLE_WORLD, 3 types, shelling_init, value: 0.8333624999999999
CIRCLE_WORLD, 3 types, random_init, value: 0.827725
CYLINDER_WORLD, 5 types, random_init, value: 0.8113499999999999
CIRCLE_WORLD, 5 types, shelling_init, value: 0.8025
GRID_4DEG_WORLD, 5 types, random_init, value: 0.8019875000000001
GRID_8DEG_WORLD, 5 types, random_init, value: 0.8006000000000002
CIRCLE_WORLD, 2 types, random_init, value: 0.7963625000000001
CIRCLE_WORLD, 6 types, shelling_init, value: 0.7940625000000001
CIRCLE_WORLD, 7 types, shelling_init, value: 0.7884000000000002
CYLINDER_WORLD, 2 types, shelling_init, value: 0.7709000000000001
CYLINDER_WORLD, 3 types, random_init, value: 0.7254833333333334
CYLINDER_WORLD, 3 types, shelling_init, value: 0.6916833333333333
GRID_4DEG_WORLD, 3 types, random_init, value: 0.684775
CYLINDER_WORLD, 2 types, random_init, value: 0.6697333333333334
GRID_8DEG_WORLD, 3 types, random_init, value: 0.6679062499999999
CYLINDER_WORLD, 5 types, shelling_init, value: 0.6162666666666667
CYLINDER_WORLD, 6 types, shelling_init, value: 0.60065
CYLINDER_WORLD, 7 types, shelling_init, value: 0.5960500000000001
GRID_4DEG_WORLD, 2 types, shelling_init, value: 0.5946
GRID_4DEG_WORLD, 2 types, random_init, value: 0.5854
GRID_4DEG_WORLD, 3 types, shelling_init, value: 0.5510625
GRID_8DEG_WORLD, 7 types, shelling_init, value: 0.5395375000000001
GRID_4DEG_WORLD, 6 types, shelling_init, value: 0.5255375
GRID_4DEG_WORLD, 5 types, shelling_init, value: 0.5234875
GRID_4DEG_WORLD, 7 types, shelling_init, value: 0.5229125
GRID_8DEG_WORLD, 2 types, random_init, value: 0.5024000000000001
GRID_8DEG_WORLD, 5 types, shelling_init, value: 0.4986124999999999
GRID_8DEG_WORLD, 6 types, shelling_init, value: 0.44922500000000004
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.4255500000000001
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.41876874999999997

Utility: social_welfare_3
Metric: TypeCountingDiversityUtility
GRID_8DEG_WORLD, 5 types, random_init, value: 0.9236592381868199
GRID_8DEG_WORLD, 2 types, random_init, value: 0.9159067937139838
GRID_8DEG_WORLD, 3 types, random_init, value: 0.9143422084074636
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9128584802990612
GRID_8DEG_WORLD, 5 types, shelling_init, value: 0.9018650740348094
GRID_8DEG_WORLD, 6 types, shelling_init, value: 0.8956585575373122
CIRCLE_WORLD, 2 types, random_init, value: 0.8931574855972471
GRID_8DEG_WORLD, 7 types, random_init, value: 0.8921919406365904
CIRCLE_WORLD, 2 types, shelling_init, value: 0.8864998408003522
GRID_8DEG_WORLD, 7 types, shelling_init, value: 0.8796103125384153
GRID_4DEG_WORLD, 2 types, random_init, value: 0.8747580527503304
CYLINDER_WORLD, 2 types, random_init, value: 0.8721036046806736
GRID_4DEG_WORLD, 3 types, random_init, value: 0.8434890114867308
CYLINDER_WORLD, 2 types, shelling_init, value: 0.8388853224048505
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.8263622650432589
GRID_4DEG_WORLD, 2 types, shelling_init, value: 0.8260132738702883
CYLINDER_WORLD, 3 types, random_init, value: 0.8137878418117434
GRID_4DEG_WORLD, 3 types, shelling_init, value: 0.8097280746147085
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.8034596245058135
CIRCLE_WORLD, 3 types, random_init, value: 0.7989309416742775
CYLINDER_WORLD, 3 types, shelling_init, value: 0.7770534353748689
GRID_4DEG_WORLD, 5 types, random_init, value: 0.7568955126596408
CIRCLE_WORLD, 3 types, shelling_init, value: 0.7537713775217765
GRID_4DEG_WORLD, 6 types, random_init, value: 0.7206187902797901
GRID_4DEG_WORLD, 5 types, shelling_init, value: 0.713019794635422
CYLINDER_WORLD, 5 types, random_init, value: 0.7000127056763854
GRID_4DEG_WORLD, 7 types, random_init, value: 0.6891723959244085
GRID_4DEG_WORLD, 6 types, shelling_init, value: 0.6726618596080729
CYLINDER_WORLD, 6 types, random_init, value: 0.6569746621279979
CYLINDER_WORLD, 5 types, shelling_init, value: 0.6501888326396442
GRID_4DEG_WORLD, 7 types, shelling_init, value: 0.6432804858121126
CYLINDER_WORLD, 7 types, random_init, value: 0.6221044087331152
CIRCLE_WORLD, 5 types, random_init, value: 0.6080558016258033
CYLINDER_WORLD, 6 types, shelling_init, value: 0.6078083364804792
CYLINDER_WORLD, 7 types, shelling_init, value: 0.5726598426141998
CIRCLE_WORLD, 6 types, random_init, value: 0.5584330586297301
CIRCLE_WORLD, 5 types, shelling_init, value: 0.5581838123159448
CIRCLE_WORLD, 7 types, random_init, value: 0.5227183327012113
CIRCLE_WORLD, 6 types, shelling_init, value: 0.5093806946499232
CIRCLE_WORLD, 7 types, shelling_init, value: 0.47166584367329784

Utility: number_of_colorful_edges
Metric: TypeCountingDiversityUtility
CYLINDER_WORLD, 7 types, shelling_init, value: 0.9977999999999999
CYLINDER_WORLD, 7 types, random_init, value: 0.9975333333333333
CYLINDER_WORLD, 6 types, random_init, value: 0.99715
CIRCLE_WORLD, 7 types, random_init, value: 0.9971125000000002
CIRCLE_WORLD, 6 types, random_init, value: 0.9970125000000002
GRID_4DEG_WORLD, 7 types, random_init, value: 0.9969375000000003
CYLINDER_WORLD, 6 types, shelling_init, value: 0.9964500000000001
CIRCLE_WORLD, 5 types, random_init, value: 0.9963000000000002
GRID_4DEG_WORLD, 7 types, shelling_init, value: 0.9953750000000001
CYLINDER_WORLD, 5 types, random_init, value: 0.9953166666666668
CIRCLE_WORLD, 6 types, shelling_init, value: 0.9952125000000003
CIRCLE_WORLD, 7 types, shelling_init, value: 0.9948125000000002
GRID_4DEG_WORLD, 6 types, random_init, value: 0.9947625000000001
CYLINDER_WORLD, 5 types, shelling_init, value: 0.9943833333333335
CIRCLE_WORLD, 5 types, shelling_init, value: 0.9943250000000002
GRID_4DEG_WORLD, 6 types, shelling_init, value: 0.9933625
GRID_4DEG_WORLD, 5 types, random_init, value: 0.9909749999999998
GRID_4DEG_WORLD, 5 types, shelling_init, value: 0.9885499999999999
CIRCLE_WORLD, 3 types, shelling_init, value: 0.9837875000000001
CIRCLE_WORLD, 3 types, random_init, value: 0.9823499999999998
GRID_8DEG_WORLD, 7 types, random_init, value: 0.980175
GRID_8DEG_WORLD, 7 types, shelling_init, value: 0.97794375
CYLINDER_WORLD, 3 types, shelling_init, value: 0.9621666666666667
GRID_8DEG_WORLD, 6 types, random_init, value: 0.9619000000000001
GRID_8DEG_WORLD, 6 types, shelling_init, value: 0.95676875
CYLINDER_WORLD, 3 types, random_init, value: 0.9547333333333331
GRID_8DEG_WORLD, 5 types, random_init, value: 0.9183375000000003
GRID_4DEG_WORLD, 3 types, shelling_init, value: 0.9162125
GRID_8DEG_WORLD, 5 types, shelling_init, value: 0.9138250000000001
GRID_4DEG_WORLD, 3 types, random_init, value: 0.9021875
CIRCLE_WORLD, 2 types, shelling_init, value: 0.8472625
CIRCLE_WORLD, 2 types, random_init, value: 0.7963625000000001
CYLINDER_WORLD, 2 types, shelling_init, value: 0.7709000000000001
GRID_8DEG_WORLD, 3 types, random_init, value: 0.7001125
CYLINDER_WORLD, 2 types, random_init, value: 0.6697333333333334
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.6632062500000001
GRID_4DEG_WORLD, 2 types, shelling_init, value: 0.5946
GRID_4DEG_WORLD, 2 types, random_init, value: 0.5854
GRID_8DEG_WORLD, 2 types, random_init, value: 0.5024000000000001
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.4255500000000001

Utility: social_welfare_3
Metric: DifferenceCountDiversityUtility
GRID_8DEG_WORLD, 3 types, random_init, value: 0.9474430576624969
GRID_8DEG_WORLD, 2 types, random_init, value: 0.9443035223922106
GRID_8DEG_WORLD, 2 types, shelling_init, value: 0.9406583443331986
GRID_8DEG_WORLD, 3 types, shelling_init, value: 0.9338443212465224
