GRID DEGREE,NUM TYPES,INITIALIZATION,UTILITY,STEPS,soc. wel. (Entropy),# colorful edges,Is max (soc. wel. (Entropy)),Is max (# colorful edges)
CIRCLE_WORLD,2,random_init,BinaryDiversityUtility,29.29,0.9726250000000001,0.7963625000000001,0,0
CIRCLE_WORLD,2,random_init,TypeCountingDiversityUtility,29.29,0.9726250000000001,0.7963625000000001,0,0
CIRCLE_WORLD,2,random_init,DifferenceCountDiversityUtility,48.31,1.0,0.89085,1,1
CIRCLE_WORLD,2,random_init,EntropyDivertiyUtility,29.29,0.9726250000000001,0.7963625000000001,0,0
CIRCLE_WORLD,2,random_init,AvgDiffTypeCountingDiversityUtility,48.31,1.0,0.89085,0,0
CIRCLE_WORLD,2,schelling_init,BinaryDiversityUtility,64.88,0.9653750000000002,0.8472625,0,0
CIRCLE_WORLD,2,schelling_init,TypeCountingDiversityUtility,64.88,0.9653750000000002,0.8472625,0,0
CIRCLE_WORLD,2,schelling_init,DifferenceCountDiversityUtility,80.08,0.99945,0.9228375,1,1
CIRCLE_WORLD,2,schelling_init,EntropyDivertiyUtility,64.88,0.9653750000000002,0.8472625,0,0
CIRCLE_WORLD,2,schelling_init,AvgDiffTypeCountingDiversityUtility,80.08,0.99945,0.9228375,0,0
CIRCLE_WORLD,3,random_init,BinaryDiversityUtility,15.96,0.6983930127198115,0.827725,0,0
CIRCLE_WORLD,3,random_init,TypeCountingDiversityUtility,47.09,0.7989309416742775,0.9823499999999998,0,0
CIRCLE_WORLD,3,random_init,DifferenceCountDiversityUtility,47.77,0.8007839303098134,0.98735,0,0
CIRCLE_WORLD,3,random_init,EntropyDivertiyUtility,47.09,0.7989309416742775,0.9823499999999998,0,0
CIRCLE_WORLD,3,random_init,AvgDiffTypeCountingDiversityUtility,53.96,0.8080185914840995,1.0,1,1
CIRCLE_WORLD,3,schelling_init,BinaryDiversityUtility,56.72,0.643806772926954,0.8333624999999999,0,0
CIRCLE_WORLD,3,schelling_init,TypeCountingDiversityUtility,86.92,0.7537713775217765,0.9837875000000001,0,0
CIRCLE_WORLD,3,schelling_init,DifferenceCountDiversityUtility,87.82,0.7561561657405262,0.9904374999999999,0,0
CIRCLE_WORLD,3,schelling_init,EntropyDivertiyUtility,86.92,0.7537713775217765,0.9837875000000001,0,0
