Utility: social_welfare_3
Metric: BinaryDiversityUtility
CIRCLE_WORLD, 2 types, random_init, value: 0.9726250000000001
CIRCLE_WORLD, 2 types, schelling_init, value: 0.9653750000000002
GRID_8DEG_WORLD, 2 types, random_init, value: 0.92415388770816
GRID_4DEG_WORLD, 2 types, random_init, value: 0.9009295197369256
GRID_8DEG_WORLD, 3 types, random_init, value: 0.8885877331436499
GRID_8DEG_WORLD, 4 types, random_init, value: 0.8722095833104956
CYLINDER_WORLD, 2 types, random_init, value: 0.8721036046806736
CIRCLE_WORLD, 8 types, random_init, value: 0.8626195368671372
GRID_8DEG_WORLD, 5 types, random_init, value: 0.8523979224023478
GRID_4DEG_WORLD, 2 types, schelling_init, value: 0.8507263691766045
CIRCLE_WORLD, 7 types, random_init, value: 0.8476375326992794
GRID_8DEG_WORLD, 6 types, random_init, value: 0.8419826466495541
CYLINDER_WORLD, 2 types, schelling_init, value: 0.8388853224048505
CIRCLE_WORLD, 6 types, random_init, value: 0.8268483973191003
CYLINDER_WORLD, 8 types, random_init, value: 0.8238908157274016
GRID_8DEG_WORLD, 7 types, random_init, value: 0.8187701252271657
GRID_4DEG_WORLD, 3 types, random_init, value: 0.8183241149109074
GRID_8DEG_WORLD, 2 types, schelling_init, value: 0.8106942111354829
CYLINDER_WORLD, 7 types, random_init, value: 0.801270899746519
GRID_4DEG_WORLD, 8 types, random_init, value: 0.8003986262979788
CIRCLE_WORLD, 5 types, random_init, value: 0.7976831555151707
GRID_8DEG_WORLD, 8 types, random_init, value: 0.7891430562512792
CYLINDER_WORLD, 3 types, random_init, value: 0.7840736071822322
GRID_4DEG_WORLD, 7 types, random_init, value: 0.7753224614933809
CYLINDER_WORLD, 6 types, random_init, value: 0.7697694703653534
GRID_4DEG_WORLD, 4 types, random_init, value: 0.7633899389505565
CIRCLE_WORLD, 4 types, random_init, value: 0.7601392298080266
GRID_4DEG_WORLD, 6 types, random_init, value: 0.7416693301110105
CYLINDER_WORLD, 5 types, random_init, value: 0.7292529277778307
CIRCLE_WORLD, 3 types, random_init, value: 0.6983930127198115
GRID_4DEG_WORLD, 5 types, random_init, value: 0.695604604140606
CIRCLE_WORLD, 8 types, schelling_init, value: 0.6829255405735613
CIRCLE_WORLD, 7 types, schelling_init, value: 0.6793163060633828
CIRCLE_WORLD, 6 types, schelling_init, value: 0.6768650095696327
CYLINDER_WORLD, 4 types, random_init, value: 0.6728767600256477
CIRCLE_WORLD, 5 types, schelling_init, value: 0.6715088587299897
CIRCLE_WORLD, 4 types, schelling_init, value: 0.664242192394454
GRID_4DEG_WORLD, 3 types, schelling_init, value: 0.6552245475782063
CIRCLE_WORLD, 3 types, schelling_init, value: 0.643806772926954
CYLINDER_WORLD, 3 types, schelling_init, value: 0.642718127581674
GRID_8DEG_WORLD, 4 types, schelling_init, value: 0.573436417106652
GRID_8DEG_WORLD, 3 types, schelling_init, value: 0.5612196439951544
CYLINDER_WORLD, 8 types, schelling_init, value: 0.5566997753718055
GRID_4DEG_WORLD, 4 types, schelling_init, value: 0.5544173949350788
CYLINDER_WORLD, 7 types, schelling_init, value: 0.5456555262233515
CYLINDER_WORLD, 6 types, schelling_init, value: 0.5359663432497066
GRID_8DEG_WORLD, 5 types, schelling_init, value: 0.5346340708797781
GRID_4DEG_WORLD, 8 types, schelling_init, value: 0.5304506599255573
CYLINDER_WORLD, 5 types, schelling_init, value: 0.5217281936711528
GRID_4DEG_WORLD, 7 types, schelling_init, value: 0.5123038809243468
GRID_8DEG_WORLD, 7 types, schelling_init, value: 0.5074044357809434
CYLINDER_WORLD, 4 types, schelling_init, value: 0.5053704578048951
GRID_4DEG_WORLD, 6 types, schelling_init, value: 0.4950052826968958
GRID_8DEG_WORLD, 8 types, schelling_init, value: 0.4947135307728645
GRID_4DEG_WORLD, 5 types, schelling_init, value: 0.47587204429287944
GRID_8DEG_WORLD, 6 types, schelling_init, value: 0.44410316515366616

Utility: number_of_colorful_edges
Metric: BinaryDiversityUtility
CIRCLE_WORLD, 8 types, random_init, value: 0.8994
CIRCLE_WORLD, 7 types, random_init, value: 0.8908750000000001
CIRCLE_WORLD, 6 types, random_init, value: 0.8794249999999999
CYLINDER_WORLD, 8 types, random_init, value: 0.8774166666666667
GRID_8DEG_WORLD, 8 types, random_init, value: 0.8751187500000002
GRID_4DEG_WORLD, 8 types, random_init, value: 0.8744999999999998
CYLINDER_WORLD, 7 types, random_init, value: 0.8623166666666667
CIRCLE_WORLD, 5 types, random_init, value: 0.8619125000000001
GRID_4DEG_WORLD, 7 types, random_init, value: 0.8586374999999999
GRID_8DEG_WORLD, 7 types, random_init, value: 0.858
CIRCLE_WORLD, 4 types, random_init, value: 0.8473125000000001
CIRCLE_WORLD, 2 types, schelling_init, value: 0.8472625
CYLINDER_WORLD, 6 types, random_init, value: 0.8395666666666665
GRID_4DEG_WORLD, 6 types, random_init, value: 0.8349125
